Order ID,Customer ID,Product ID,Region ID,Transport ID,Date Key,Quantity,Sales,Discount,Profit,Delivery Delay
CA-2016-152156,CG-12520,FUR-BO-10001798,1,1,20161108,2,261.96,0.0,41.9136,3
CA-2016-152156,CG-12520,FUR-CH-10000454,1,1,20161108,3,731.94,0.0,219.582,3
CA-2016-138688,DV-13045,OFF-LA-10000240,2,1,20160612,2,14.62,0.0,6.8714,4
US-2015-108966,SO-20335,FUR-TA-10000577,3,2,20151011,5,957.5775,0.45,-383.031,7
US-2015-108966,SO-20335,OFF-ST-10000760,3,2,20151011,2,22.368,0.2,2.5164,7
CA-2014-115812,BH-11710,FUR-FU-10001487,4,2,20140609,7,48.86,0.0,14.1694,5
CA-2014-115812,BH-11710,OFF-AR-10002833,4,2,20140609,4,7.28,0.0,1.9656,5
CA-2014-115812,BH-11710,TEC-PH-10002275,4,2,20140609,6,907.152,0.2,90.7152,5
CA-2014-115812,BH-11710,OFF-BI-10003910,4,2,20140609,3,18.504,0.2,5.7825,5
CA-2014-115812,BH-11710,OFF-AP-10002892,4,2,20140609,5,114.9,0.0,34.47,5
CA-2014-115812,BH-11710,FUR-TA-10001539,4,2,20140609,9,1706.184,0.2,85.3092,5
CA-2014-115812,BH-11710,TEC-PH-10002033,4,2,20140609,4,911.424,0.2,68.3568,5
CA-2017-114412,AA-10480,OFF-PA-10002365,5,2,20170415,3,15.552,0.2,5.4432,5
CA-2016-161389,IM-15070,OFF-BI-10003656,6,2,20161205,3,407.976,0.2,132.5922,5
US-2015-118983,HP-14815,OFF-AP-10002311,7,2,20151122,5,68.81,0.8,-123.858,4
US-2015-118983,HP-14815,OFF-BI-10000756,7,2,20151122,3,2.544,0.8,-3.816,4
CA-2014-105893,PK-19075,OFF-ST-10004186,8,2,20141111,6,665.88,0.0,13.3176,7
CA-2014-167164,AG-10270,OFF-ST-10000107,9,1,20140513,2,55.5,0.0,9.99,2
CA-2014-143336,ZD-21925,OFF-AR-10003056,10,1,20140827,2,8.56,0.0,2.4824,5
CA-2014-143336,ZD-21925,TEC-PH-10001949,10,1,20140827,3,213.48,0.2,16.011,5
CA-2014-143336,ZD-21925,OFF-BI-10002215,10,1,20140827,4,22.72,0.2,7.384,5
CA-2016-137330,KB-16585,OFF-AR-10000246,11,2,20161209,7,19.46,0.0,5.0596,4
CA-2016-137330,KB-16585,OFF-AP-10001492,11,2,20161209,7,60.34,0.0,15.6884,4
US-2017-156909,SF-20065,FUR-CH-10002774,12,1,20170716,2,71.372,0.3,-1.0196,2
CA-2015-106320,EB-13870,FUR-TA-10000577,13,2,20150925,3,1044.63,0.0,240.2649,5
CA-2016-121755,EH-13945,OFF-BI-10001634,14,1,20160116,2,11.648,0.2,4.2224,4
CA-2016-121755,EH-13945,TEC-AC-10003027,14,1,20160116,3,90.57,0.0,11.7741,4
US-2015-150630,TB-21520,FUR-BO-10004834,12,2,20150917,7,3083.43,0.5,-1665.0522,4
US-2015-150630,TB-21520,OFF-BI-10000474,12,2,20150917,2,9.618,0.7,-7.0532,4
US-2015-150630,TB-21520,FUR-FU-10004848,12,2,20150917,3,124.2,0.2,15.525,4
US-2015-150630,TB-21520,OFF-EN-10001509,12,2,20150917,2,3.264,0.2,1.1016,4
US-2015-150630,TB-21520,OFF-AR-10004042,12,2,20150917,6,86.304,0.2,9.7092,4
US-2015-150630,TB-21520,OFF-BI-10001525,12,2,20150917,6,6.858,0.7,-5.715,4
US-2015-150630,TB-21520,OFF-AR-10001683,12,2,20150917,2,15.76,0.2,3.546,4
CA-2017-107727,MA-17560,OFF-PA-10000249,15,1,20171019,3,29.472,0.2,9.9468,4
CA-2016-117590,GH-14485,TEC-PH-10004977,16,3,20161208,7,1097.544,0.2,123.4737,2
